Falling_In_Love 2NE1:Falling_In_Love.txt
Bathroom_Sink Miranda_Lambert:Bathroom_Sink.txt
Girls Miranda_Lambert:Girls.txt
Hard_Staying_Sober Miranda_Lambert:Hard_Staying_Sober.txt
Holding_On_To_You Miranda_Lambert:Holding_On_To_You.txt
Little_Red_Wagon Miranda_Lambert:Little_Red_Wagon.txt
Platinum Miranda_Lambert:Platinum.txt
Priscilla Miranda_Lambert:Priscilla.txt
Smokin'_And_Drinkin' Miranda_Lambert:Smokin'_And_Drinkin'.txt
Somethin'_Bad Miranda_Lambert:Somethin'_Bad.txt
Lampshades_On_Fire Modest_Mouse:Lampshades_On_Fire.txt
New_Years'_Eve Mo:New_Years'_Eve.txt
Summer_In_December Morandi:Summer_In_December.txt
Believe Mumford_&amp;_Sons:Believe.txt
Believe Mumford_&_Sons:Believe.txt
Dead_Inside Muse:Dead_Inside.txt
Psycho Muse:Psycho.txt
ELF nameAndFilename
#include_<iostream> nameAndFilename.cpp
 names.txt
Somebody Natalie_La_Rose:Somebody.txt
Hope Natasha_Bedingfield:Hope.txt
Nothing_Without_Love Nate_Ruess:Nothing_Without_Love.txt
Something_Blue Neil_Diamond:Something_Blue.txt
Who's_Gonna_Stand_Up Neil_Young:Who's_Gonna_Stand_Up.txt
Sparks Neon_Hitch:Sparks.txt
It_Feels Nervo:It_Feels.txt
Rise_Early_Morning Nervo:Rise_Early_Morning.txt
Leaving_With_Me Next:Leaving_With_Me.txt
Coming_With_You Ne-Yo:Coming_With_You.txt
She_Knows Ne-Yo:She_Knows.txt
Anaconda Nicki_Minaj:Anaconda.txt
Bed_Of_Lies Nicki_Minaj:Bed_Of_Lies.txt
Buy_A_Heart Nicki_Minaj:Buy_A_Heart.txt
Favorite Nicki_Minaj:Favorite.txt
Feeling_Myself Nicki_Minaj:Feeling_Myself.txt
Four_Door_Aventador Nicki_Minaj:Four_Door_Aventador.txt
Get_On_Your_Knees Nicki_Minaj:Get_On_Your_Knees.txt
Grand_Piano Nicki_Minaj:Grand_Piano.txt
Mona_Lisa Nicki_Minaj:Mona_Lisa.txt
Only Nicki_Minaj:Only.txt
Pills_N_Potions Nicki_Minaj:Pills_N_Potions.txt
Shanghai Nicki_Minaj:Shanghai.txt
The_Crying_Game Nicki_Minaj:The_Crying_Game.txt
The_Night_Is_Still_Young Nicki_Minaj:The_Night_Is_Still_Young.txt
Trini_Dem_Girls Nicki_Minaj:Trini_Dem_Girls.txt
Truffle_Butter Nicki_Minaj:Truffle_Butter.txt
Wamables Nicki_Minaj:Wamables.txt
Want_Some_More Nicki_Minaj:Want_Some_More.txt
Win_Again Nicki_Minaj:Win_Again.txt
Avalanche Nick_Jonas:Avalanche.txt
Chains Nick_Jonas:Chains.txt
I_Want_You Nick_Jonas:I_Want_You.txt
Jealous Nick_Jonas:Jealous.txt
Nothing_Would_Be_Better Nick_Jonas:Nothing_Would_Be_Better.txt
Numb Nick_Jonas:Numb.txt
Take_Over Nick_Jonas:Take_Over.txt
Teacher Nick_Jonas:Teacher.txt
Warning Nick_Jonas:Warning.txt
Wilderness Nick_Jonas:Wilderness.txt
Am_I_Wrong Nico_&amp;_Vinz:Am_I_Wrong.txt
Imagine Nico_&amp;_Vinz:Imagine.txt
When_The_Day_Comes Nico_&amp;_Vinz:When_The_Day_Comes.txt
Bang Nicole_Scherzinger:Bang.txt
Big_Fat_Lie Nicole_Scherzinger:Big_Fat_Lie.txt
God_Of_War Nicole_Scherzinger:God_Of_War.txt
Heartbreaker Nicole_Scherzinger:Heartbreaker.txt
Cold_War Niykee_Heaton:Cold_War.txt
Ballad_Of_The_Mighty_I Noel_Gallagher:Ballad_Of_The_Mighty_I.txt
In_The_Heat_Of_The_Moment Noel_Gallagher:In_The_Heat_Of_The_Moment.txt
Lock_All_The_Doors Noel_Gallagher:Lock_All_The_Doors.txt
Riverman Noel_Gallagher:Riverman.txt
The_Dying_Of_The_Light Noel_Gallagher:The_Dying_Of_The_Light.txt
The_Girl_With_X-Ray_Eyes Noel_Gallagher:The_Girl_With_X-Ray_Eyes.txt
The_Mexican Noel_Gallagher:The_Mexican.txt
The_Right_Stuff Noel_Gallagher:The_Right_Stuff.txt
While_The_Song_Remains_The_Same Noel_Gallagher:While_The_Song_Remains_The_Same.txt
You_Know_We_Can't_Go_Back Noel_Gallagher:You_Know_We_Can't_Go_Back.txt
Can_It_Be_You? North_Of_Nine:Can_It_Be_You?.txt
Coming_For_You Offspring:Coming_For_You.txt
Nothing_Is_Over Oh_Land:Nothing_Is_Over.txt
Beautiful_To_Me Olly_Murs:Beautiful_To_Me.txt
Did_You_Miss_Me Olly_Murs:Did_You_Miss_Me.txt
History Olly_Murs:History.txt
Hope_You_Got_What_You_Came_For Olly_Murs:Hope_You_Got_What_You_Came_For.txt
Let_Me_In Olly_Murs:Let_Me_In.txt
Look_At_The_Sky Olly_Murs:Look_At_The_Sky.txt
Never_Been_Better Olly_Murs:Never_Been_Better.txt
Nothing_Without_You Olly_Murs:Nothing_Without_You.txt
Ready_For_Love Olly_Murs:Ready_For_Love.txt
Tomorrow Olly_Murs:Tomorrow.txt
Up Olly_Murs:Up.txt
Us_Against_The_World Olly_Murs:Us_Against_The_World.txt
We_Still_Love Olly_Murs:We_Still_Love.txt
Wrapped_Up Olly_Murs:Wrapped_Up.txt
Post_To_Be Omarion:Post_To_Be.txt
18 One_Direction:18.txt
Best_Song_Ever One_Direction:Best_Song_Ever.txt
Clouds One_Direction:Clouds.txt
Fireproof One_Direction:Fireproof.txt
Fool's_Gold One_Direction:Fool's_Gold.txt
Night_Changes One_Direction:Night_Changes.txt
No_Control One_Direction:No_Control.txt
Once_In_A_Lifetime One_Direction:Once_In_A_Lifetime.txt
Spaces One_Direction:Spaces.txt
Steal_My_Girl One_Direction:Steal_My_Girl.txt
Stockholm_Syndrome One_Direction:Stockholm_Syndrome.txt
Where_Do_Broken_Hearts_Go One_Direction:Where_Do_Broken_Hearts_Go.txt
I_Lived OneRepublic:I_Lived.txt
Love_Runs_Out OneRepublic:Love_Runs_Out.txt
Ordinary_Human OneRepublic:Ordinary_Human.txt
Coco O.T._Genasis:Coco.txt
Beautiful_Times Owl_City:Beautiful_Times.txt
Kiss_Me_Babe_It's_Christmas_Time Owl_City:Kiss_Me_Babe_It's_Christmas_Time.txt
Tokyo Owl_City:Tokyo.txt
You're_Not_Alone Owl_City:You're_Not_Alone.txt
Leave_While_I'm_Not_Looking Paloma_Faith:Leave_While_I'm_Not_Looking.txt
Ready_For_The_Good_Life Paloma_Faith:Ready_For_The_Good_Life.txt
Iron_Sky Paolo_Nutini:Iron_Sky.txt
Broken_As_Me Papa_Roach:Broken_As_Me.txt
Still_Into_You Paramore:Still_Into_You.txt
Tell_Me_It's_Okay Paramore:Tell_Me_It's_Okay.txt
Where_The_Sky_Hangs Passion_Pit:Where_The_Sky_Hangs.txt
Hope_For_The_Future Paul_McCartney:Hope_For_The_Future.txt
Moline Pearl_Jam:Moline.txt
La_La_Latch Pentatonix:La_La_Latch.txt
Celebrate Pitbull:Celebrate.txt
Time_of_Our_Lives Pitbull_&_Ne-Yo:Time_of_Our_Lives.txt
Timber Pitbull:Timber.txt
Time_Of_Our_Lives Pitbull:Time_Of_Our_Lives.txt
Caravan_Of_Love Pixie_Lott:Caravan_Of_Love.txt
Find_You Plies:Find_You.txt
DnF P._Reign:DnF.txt
Messed_Up_World Pretty_Reckless:Messed_Up_World.txt
Wish_Upon_A_Star Pries:Wish_Upon_A_Star.txt
Nasty Prodigy:Nasty.txt
The_Day_Is_My_Enemy Prodigy:The_Day_Is_My_Enemy.txt
Not_Your_Man Professor_Green:Not_Your_Man.txt
Twerk_It Project_Pat:Twerk_It.txt
Daddy PSY:Daddy.txt
Let_Me_In_Your_Heart_Again Queen:Let_Me_In_Your_Heart_Again.txt
Smile R5:Smile.txt
No_Type Rae_Sremmurd:No_Type.txt
Throw_Sum_Mo Rae_Sremmurd:Throw_Sum_Mo.txt
All_Of_The_Pieces Reigan:All_Of_The_Pieces.txt
Nickel_Rock Rick_Ross:Nickel_Rock.txt
Disparo_El_Corazon Ricky_Martin:Disparo_El_Corazon.txt
Mr._Put_It_Down Ricky_Martin:Mr._Put_It_Down.txt
FourFiveSeconds Rihanna_and_Kanye_West_and_Paul_McCartney:FourFiveSeconds.txt
Bitch_Better_Have_My_Money Rihanna:Bitch_Better_Have_My_Money.txt
Kiss_It_Better Rihanna:Kiss_It_Better.txt
World_Peace Rihanna:World_Peace.txt
I_Don't_Want_To_Be_Here_Anymore Rise_Against:I_Don't_Want_To_Be_Here_Anymore.txt
Caught_On_Fire Rita_Ora:Caught_On_Fire.txt
Grateful Rita_Ora:Grateful.txt
My_Story R._Kelly:My_Story.txt
Old_Bike Rob_Cantor:Old_Bike.txt
Arrows_And_Bows Roscoe_Dash:Arrows_And_Bows.txt
Take_Your_Time Sam_Hunt:Take_Your_Time.txt
Good_Thing Sam_Smith:Good_Thing.txt
Have_Yourself_A_Merry_Little_Christmas Sam_Smith:Have_Yourself_A_Merry_Little_Christmas.txt
I'm_Not_the_Only_One Sam_Smith:I'm_Not_the_Only_One.txt
Lay_Me_Down Sam_Smith:Lay_Me_Down.txt
Leave_Your_Lover Sam_Smith:Leave_Your_Lover.txt
Life_Support Sam_Smith:Life_Support.txt
Not_In_That_Way Sam_Smith:Not_In_That_Way.txt
Reminds_Me_Of_You Sam_Smith:Reminds_Me_Of_You.txt
Stay_With_Me Sam_Smith:Stay_With_Me.txt
The_Heart_Wants_What_It_Wants Selena_Gomez:The_Heart_Wants_What_It_Wants.txt
I_Don't_Want_To_Let_You_Down Sharon_Van_Etten:I_Don't_Want_To_Let_You_Down.txt
Something_Big Shawn_Mendes:Something_Big.txt
Geronimo Sheppard:Geronimo.txt
Big_Girls_Cry Sia:Big_Girls_Cry.txt
Burn_The_Pages Sia:Burn_The_Pages.txt
Chandelier Sia:Chandelier.txt
Elastic_Heart Sia:Elastic_Heart.txt
Fair_Game Sia:Fair_Game.txt
Free_The_Animal Sia:Free_The_Animal.txt
Hostage Sia:Hostage.txt
Iko_Iko Sia:Iko_Iko.txt
Push Sia:Push.txt
Salted_Wound Sia:Salted_Wound.txt
Straight_For_The_Knife Sia:Straight_For_The_Knife.txt
You're_Never_Fully_Dressed_Without_A_Smile Sia:You're_Never_Fully_Dressed_Without_A_Smile.txt
A_Midwestern_State_Of_Emergency Silverstein:A_Midwestern_State_Of_Emergency.txt
Guardian Sky_Ferreira:Guardian.txt
I_Know_You Skylar_Grey:I_Know_You.txt
Twisted Skylar_Grey:Twisted.txt
30_Years_To_Life Slash:30_Years_To_Life.txt
Kick_Me Sleeping_With_Sirens:Kick_Me.txt
Be_Prepared_For_Hell Slipknot:Be_Prepared_For_Hell.txt
Custer Slipknot:Custer.txt
If_Rain_Is_What_You_Want Slipknot:If_Rain_Is_What_You_Want.txt
Killpop Slipknot:Killpop.txt
Nomadic Slipknot:Nomadic.txt
Override Slipknot:Override.txt
Sarcastrophe Slipknot:Sarcastrophe.txt
The_Burden Slipknot:The_Burden.txt
The_One_That_Kills_The_Least Slipknot:The_One_That_Kills_The_Least.txt
Anti-Hero Smashing_Pumpkins:Anti-Hero.txt
Being_Beige Smashing_Pumpkins:Being_Beige.txt
Dorian Smashing_Pumpkins:Dorian.txt
Drum_+_Fife Smashing_Pumpkins:Drum_+_Fife.txt
Run2me Smashing_Pumpkins:Run2me.txt
Tiberius Smashing_Pumpkins:Tiberius.txt
Peaches_N_Cream Snoop_Dogg:Peaches_N_Cream.txt
Storm Soundgarden:Storm.txt
PietÃ  St._Vincent:PietÃ .txt
Sparrow St._Vincent:Sparrow.txt
If_You_Want_It Take_That:If_You_Want_It.txt
These_Days Take_That:These_Days.txt
Bang_Bang Tamar_Braxton:Bang_Bang.txt
All_You_Had_To_Do_Was_Stay Taylor_Swift:All_You_Had_To_Do_Was_Stay.txt
Bad_Blood Taylor_Swift:Bad_Blood.txt
Blank_Space Taylor_Swift:Blank_Space.txt
Clean Taylor_Swift:Clean.txt
How_You_Get_The_Girl Taylor_Swift:How_You_Get_The_Girl.txt
I_Know_Places Taylor_Swift:I_Know_Places.txt
I_Wish_You_Would Taylor_Swift:I_Wish_You_Would.txt
Never_Go_Out_Of_Style Taylor_Swift:Never_Go_Out_Of_Style.txt
New_Romance Taylor_Swift:New_Romance.txt
Shake_It_Off Taylor_Swift:Shake_It_Off.txt
Style Taylor_Swift:Style.txt
This_Love Taylor_Swift:This_Love.txt
Welcome_To_New_York Taylor_Swift:Welcome_To_New_York.txt
Wildest_Dreams Taylor_Swift:Wildest_Dreams.txt
Wonderland Taylor_Swift:Wonderland.txt
You_R_In_Love Taylor_Swift:You_R_In_Love.txt
Change_Your_World Teeflii:Change_Your_World.txt
All_Year Terrace_Martin:All_Year.txt
Christmas_Heart Terrace_Martin:Christmas_Heart.txt
For_Ever_With_You Terrace_Martin:For_Ever_With_You.txt
Gentle_On_My_Mind The_Band_Perry:Gentle_On_My_Mind.txt
Make_You_Better The_Decemberists:Make_You_Better.txt
Love_Don't_Die The_Fray:Love_Don't_Die.txt
Black_On_Black The_Game:Black_On_Black.txt
Down The_Kooks:Down.txt
English_Girls The_Maine:English_Girls.txt
Punching_In_A_Dream The_Naked_And_Famous:Punching_In_A_Dream.txt
What_Are_You_Waiting_For? The_Saturdays:What_Are_You_Waiting_For?.txt
Army_Of_Angels The_Script:Army_Of_Angels.txt
It's_Not_Right_For_You The_Script:It's_Not_Right_For_You.txt
Man_On_A_Wire The_Script:Man_On_A_Wire.txt
No_Good_In_Goodbye The_Script:No_Good_In_Goodbye.txt
Superheroes The_Script:Superheroes.txt
The_Energy_Never_Dies The_Script:The_Energy_Never_Dies.txt
If_You_Love_Someone The_Veronicas:If_You_Love_Someone.txt
Line_Of_Fire The_Veronicas:Line_Of_Fire.txt
You_Ruin_Me The_Veronicas:You_Ruin_Me.txt
Drinks_On_Us The_Weeknd:Drinks_On_Us.txt
Earned_It The_Weeknd:Earned_It.txt
Often The_Weeknd:Often.txt
You_Wouldn't_Like_Me_When_I'm_Angry Thom_Yorke:You_Wouldn't_Like_Me_When_I'm_Angry.txt
Painkiller Three_Days_Grace:Painkiller.txt
Meanwhile_Back_At_Mama's Tim_Mcgraw:Meanwhile_Back_At_Mama's.txt
Overrated Tim_Mcgraw:Overrated.txt
Bet Tinashe:Bet.txt
Little_Things Tinashe:Little_Things.txt
Pretend Tinashe:Pretend.txt
Flash! Tinie_Tempah:Flash!.txt
UFO Tink:UFO.txt
Paperwork T.I.:Paperwork.txt
Private_Show T.I.:Private_Show.txt
Drunk_Americans Toby_Keith:Drunk_Americans.txt
The_Invisible_Parade Tom_DeLonge:The_Invisible_Parade.txt
Nobody_Love Tori_Kelly:Nobody_Love.txt
Run_On_Love Tove_Lo:Run_On_Love.txt
Scream_My_Name Tove_Lo:Scream_My_Name.txt
Talking_Body Tove_Lo:Talking_Body.txt
Let_Me_Through T-Pain:Let_Me_Through.txt
Stoicville T-Pain:Stoicville.txt
Angel_In_Blue_Jeans Train:Angel_In_Blue_Jeans.txt
Cadillac_Cadillac Train:Cadillac_Cadillac.txt
Ignition_&amp;_Friction Transit:Ignition_&amp;_Friction.txt
Now_Or_Never Trevor_Moran:Now_Or_Never.txt
Dead_Wrong Trey_Songz:Dead_Wrong.txt
 :.txt
Drop_That_Kitty Ty_Dolla_Sign:Drop_That_Kitty.txt
Erryday Tyga:Erryday.txt
A_Guy_Walks_Into_a_Bar Tyler_Farr:A_Guy_Walks_Into_a_Bar.txt
Ordinary_Love U2:Ordinary_Love.txt
All_About_A_Girl Union_J:All_About_A_Girl.txt
Get_It_Right Union_J:Get_It_Right.txt
Girl_Like_You Union_J:Girl_Like_You.txt
I_Can't_Make_You_Love_Me Union_J:I_Can't_Make_You_Love_Me.txt
It's_Beginning_To_Look_A_Lot_Like_Christmas Union_J:It's_Beginning_To_Look_A_Lot_Like_Christmas.txt
Midnight_Train Union_J:Midnight_Train.txt
One_More_Time Union_J:One_More_Time.txt
She's_In_My_Head Union_J:She's_In_My_Head.txt
Song_For_You_And_I Union_J:Song_For_You_And_I.txt
Together Union_J:Together.txt
You_Got_It_All Union_J:You_Got_It_All.txt
All_Falls_Down Usher:All_Falls_Down.txt
Cuz_We_Can Usher:Cuz_We_Can.txt
Good_Kisser Usher:Good_Kisser.txt
I_Don't_Mind Usher:I_Don't_Mind.txt
Paradise Usher:Paradise.txt
Riptide Vance_Joy:Riptide.txt
One_Last_Night Vaults:One_Last_Night.txt
Tell_Me Vita_Chambers:Tell_Me.txt
The_Deep_End W.A.L.E.:The_Deep_End.txt
The_Matrimony W.A.L.E.:The_Matrimony.txt
The_Summer_League W.A.L.E.:The_Summer_League.txt
Shut_Up_and_Dance WALK_THE_MOON:Shut_Up_and_Dance.txt
Lonely_Girl Weezer:Lonely_Girl.txt
The_British_Are_Coming Weezer:The_British_Are_Coming.txt
What_Did_I_Do?_/_God_As_My_Witness what_did_i_do_god_as_my_witness_lyrics.txt
Be_Lucky Who:Be_Lucky.txt
Goodbye Who_Is_Fancy:Goodbye.txt
Take_My_Side Will_Butler:Take_My_Side.txt
New_York_Sunshine William_Bolton:New_York_Sunshine.txt
Flowers Willow_Smith:Flowers.txt
RTA Willow_Smith:RTA.txt
Go_Hard_Or_Go_Home Wiz_Khalifa:Go_Hard_Or_Go_Home.txt
See_You_Again Wiz_Khalifa:See_You_Again.txt
Smoke_Chambers Wiz_Khalifa:Smoke_Chambers.txt
I_Promise_You WORLD5:I_Promise_You.txt
Whiskey_In_A_Bottle Yelawolf:Whiskey_In_A_Bottle.txt
My_Hitta Yg:My_Hitta.txt
Holy_Ghost Young_Jeezy:Holy_Ghost.txt
Homegrown Zac_Brown_Band:Homegrown.txt
Weak_Heart Zara_Larsson:Weak_Heart.txt
I_Want_You_to_Know Zedd:I_Want_You_to_Know.txt
I_Want_You_to_Know Zedd:I_Want_You_to_Know.txt
